Purchase_ID,Invoice_ID,Invoice_Date,Supplier_ID,Supplier_Name,Category,Subcategory,Department,Region,Amount,Payment_Status,Contract_Compliance,PO_Status,Invoice_Processing_Days,Buyer_Name,Cost_Center
P1001,INV1001,2024-01-15,S027,Peak Freight,Logistics,Freight,Supply Chain,Midwest,15586.3,Paid,Yes,Available,20,Ana,CC109
P1002,INV1002,2024-04-25,S002,Delta Office,Office Supplies,Furniture,Supply Chain,East,6190.19,Pending,Yes,Available,30,David,CC101
P1003,INV1003,2024-02-11,S028,CoreOffice Depot,Office Supplies,Printers,Admin,West,7978.94,Overdue,Yes,Available,27,Leo,CC106
P1004,INV1004,2024-10-10,S023,PaperTrail Office,Office Supplies,Furniture,Facilities,North,766.77,Paid,Yes,Available,20,David,CC113
P1005,INV1005,2024-10-22,S023,PaperTrail Office,Office Supplies,Office Equipment,Technology,Midwest,298.22,Pending,Yes,Available,27,Leo,CC108
P1006,INV1006,2024-10-26,S001,ABC Supplies,IT,Servers,Supply Chain,East,9910.52,Paid,Yes,Available,14,Sara,CC113
P1007,INV1007,2024-04-08,S030,DataSphere Tech,IT,Software,Engineering,North,12821.24,Pending,Yes,Available,21,Priya,CC102
P1008,INV1008,2024-03-03,S015,RapidRoute Shipping,Logistics,Shipping,Facilities,Midwest,32337.22,Pending,No,Available,20,Priya,CC104
P1009,INV1009,2024-05-16,S008,GreenSource,Facilities,Safety Supplies,Finance,East,9143.99,Pending,Yes,Available,37,John,CC103
P1010,INV1010,2024-08-07,S015,RapidRoute Shipping,Logistics,Express Delivery,Operations,East,5193.54,Paid,No,Available,4,Priya,CC115
P1011,INV1011,2024-11-02,S028,CoreOffice Depot,Office Supplies,Printers,Procurement,South,8008.34,Pending,Yes,Available,16,Ana,CC114
P1012,INV1012,2024-03-27,S028,CoreOffice Depot,Office Supplies,Breakroom Supplies,Operations,South,2198.37,Overdue,Yes,Available,36,John,CC105
P1013,INV1013,2024-09-28,S004,FastClean Services,Facilities,Utilities,Engineering,West,7465.62,Pending,Yes,Available,28,Ana,CC108
P1014,INV1014,2024-10-12,S029,FacilityOne Services,Facilities,HVAC,Procurement,North,8676.84,Paid,Yes,Available,5,Emily,CC102
