Purchase_ID,Invoice_ID,Invoice_Date,Supplier_ID,Supplier_Name,Category,Subcategory,Department,Region,Amount,Payment_Status,Contract_Compliance,PO_Status,Invoice_Processing_Days,Buyer_Name,Cost_Center,Risk_Level,Contract_Active,Compliance_Flag,Missing_PO_Flag,Delayed_Invoice_Flag,Risk_Flag,Inactive_Contract_Flag
P1007,INV1007,2024-04-08,S030,DataSphere Tech,IT,Software,Engineering,North,12821.24,Pending,Yes,Available,21,Priya,CC102,High,Yes,OK,OK,OK,Flag,OK
P1008,INV1008,2024-03-03,S015,RapidRoute Shipping,Logistics,Shipping,Facilities,Midwest,32337.22,Pending,No,Available,20,Priya,CC104,High,Yes,Flag,OK,OK,Flag,OK
P1009,INV1009,2024-05-16,S008,GreenSource,Facilities,Safety Supplies,Finance,East,9143.99,Pending,Yes,Available,37,John,CC103,Medium,Yes,OK,OK,Flag,OK,OK
P1010,INV1010,2024-08-07,S015,RapidRoute Shipping,Logistics,Express Delivery,Operations,East,5193.54,Paid,No,Available,4,Priya,CC115,High,Yes,Flag,OK,OK,OK,OK
P1012,INV1012,2024-03-27,S028,CoreOffice Depot,Office Supplies,Breakroom Supplies,Operations,South,2198.37,Overdue,Yes,Available,36,John,CC105,Low,Yes,OK,OK,Flag,OK,OK
P1017,INV1017,2024-08-11,S003,Prime Logistics,Logistics,Freight,Engineering,West,31149.77,Paid,No,Available,12,Priya,CC113,High,No,Flag,OK,OK,Flag,Flag
P1022,INV1022,2024-06-18,S015,RapidRoute Shipping,Logistics,Freight,HR,North,27996.72,Paid,Yes,Missing,9,Ana,CC103,High,Yes,OK,Flag,OK,Flag,OK
P1023,INV1023,2024-07-02,S003,Prime Logistics,Logistics,Ocean Freight,Operations,West,23723.89,Paid,No,Available,10,John,CC105,High,No,Flag,OK,OK,Flag,Flag
P1025,INV1025,2024-01-01,S025,SafeGrid Security,IT,Servers,Engineering,East,3896.9,Pending,Yes,Available,32,Priya,CC111,Medium,Yes,OK,OK,Flag,OK,OK
P1032,INV1032,2024-02-21,S022,OmniTech Devices,IT,Software,Procurement,West,3569.91,Overdue,Yes,Available,37,David,CC104,Low,Yes,OK,OK,Flag,OK,OK
P1035,INV1035,2024-01-12,S003,Prime Logistics,Logistics,Warehousing,HR,South,23501.58,Paid,Yes,Available,9,Mark,CC111,High,No,OK,OK,OK,Flag,Flag
P1038,INV1038,2024-01-26,S030,DataSphere Tech,IT,Servers,Procurement,Northeast,27398.97,Pending,No,Available,29,Ana,CC102,High,Yes,Flag,OK,OK,Flag,OK
P1040,INV1040,2024-04-04,S025,SafeGrid Security,IT,Laptops,Operations,Midwest,11772.35,Paid,No,Available,5,Leo,CC111,Medium,Yes,Flag,OK,OK,OK,OK
P1041,INV1041,2024-08-20,S002,Delta Office,Office Supplies,Stationery,Supply Chain,East,5129.25,Pending,Yes,Available,39,Emily,CC106,Low,Yes,OK,OK,Flag,OK,OK
P1044,INV1044,2024-09-06,S024,Titan Fabrication,Manufacturing,Maintenance Kits,Procurement,Northeast,30196.71,Overdue,No,Available,52,Ravi,CC106,High,No,Flag,OK,Flag,Flag,Flag
P1048,INV1048,2024-08-29,S030,DataSphere Tech,IT,Accessories,Facilities,West,21017.02,Paid,Yes,Available,16,Ana,CC101,High,Yes,OK,OK,OK,Flag,OK
P1054,INV1054,2024-03-30,S005,NextGen Components,Manufacturing,Maintenance Kits,Procurement,North,5875.16,Paid,No,Available,17,John,CC107,Medium,Yes,Flag,OK,OK,OK,OK
P1055,INV1055,2024-06-02,S017,PureSpace Cleaning,Facilities,Utilities,HR,East,958.79,Overdue,Yes,Available,42,Leo,CC103,Low,Yes,OK,OK,Flag,OK,OK
P1056,INV1056,2024-08-15,S024,Titan Fabrication,Manufacturing,Consumables,Operations,East,5876.93,Paid,Yes,Available,12,Leo,CC108,High,No,OK,OK,OK,OK,Flag
P1058,INV1058,2024-06-08,S010,BlueWave Freight,Logistics,Warehousing,Finance,North,8535.67,Pending,Yes,Available,32,Ravi,CC102,High,Yes,OK,OK,Flag,OK,OK
P1059,INV1059,2024-08-26,S030,DataSphere Tech,IT,Software,Admin,West,18393.42,Overdue,No,Available,43,Mark,CC112,High,Yes,Flag,OK,Flag,Flag,OK
P1061,INV1061,2024-02-12,S021,Velocity Cargo,Logistics,Express Delivery,Operations,South,26040.86,Paid,Yes,Available,7,Ravi,CC107,High,Yes,OK,OK,OK,Flag,OK
P1064,INV1064,2024-02-12,S019,ForgeLine Parts,Manufacturing,Machine Parts,HR,North,15179.36,Paid,Yes,Missing,20,Mark,CC104,High,Yes,OK,Flag,OK,Flag,OK
P1066,INV1066,2024-03-22,S030,DataSphere Tech,IT,Networking,Operations,Midwest,20438.23,Pending,No,Available,37,Mark,CC104,High,Yes,Flag,OK,Flag,Flag,OK
P1068,INV1068,2024-11-13,S007,SecureNet,IT,Networking,Operations,Midwest,22509.17,Paid,No,Available,11,Sara,CC104,High,Yes,Flag,OK,OK,Flag,OK
P1069,INV1069,2024-12-30,S015,RapidRoute Shipping,Logistics,Last Mile,Engineering,West,1300.94,Pending,No,Available,24,David,CC109,High,Yes,Flag,OK,OK,OK,OK
P1073,INV1073,2024-03-14,S030,DataSphere Tech,IT,Cloud Services,Procurement,Midwest,20317.04,Pending,No,Available,31,David,CC111,High,Yes,Flag,OK,Flag,Flag,OK
P1074,INV1074,2024-12-27,S001,ABC Supplies,IT,Cloud Services,Facilities,Northeast,18421.06,Pending,No,Available,18,Leo,CC106,Low,Yes,Flag,OK,OK,OK,OK
P1076,INV1076,2024-09-08,S010,BlueWave Freight,Logistics,Last Mile,Procurement,Midwest,10209.41,Paid,No,Missing,10,Emily,CC101,High,Yes,Flag,Flag,OK,Flag,OK
P1077,INV1077,2024-08-02,S015,RapidRoute Shipping,Logistics,Warehousing,Finance,West,13976.96,Paid,No,Available,7,Priya,CC103,High,Yes,Flag,OK,OK,Flag,OK
